Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Best_Params,Best_RMSE
Baseline Linear Regression,1.09870609774437,1.1273464065155225,0.8712787386091609,0.9153162987577669,0.28441387160242526,0.19732416339339132,,
Lasso Regression (No Hyper-Tuning),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,,
Ridge Regression (No Hyper-Tuning),1.105172013698702,1.1287210037548678,0.8764013971790702,0.9182454896839151,0.2759665997622034,0.19536553088200614,,
SVM Regression (No Hyper-Tuning),0.9403341546352755,1.1590599550492597,0.6683703884535895,0.9571297030607496,0.4758407370544806,0.1515285712480322,,
Ridge Regression (Tuned),1.112415719881247,1.1263960393598706,0.8809492333576184,0.9227818931528662,0.2664443300052479,0.1986769245444736,{'ridge__alpha': 100.0},
Lasso Regression (Tuned),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,{'lasso__alpha': 0.01},
SVM Regression (Tuned),1.11877879208799,1.1343943391162798,0.8731504189710183,0.9275283740848782,0.2580283803639576,0.18725646992788458,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",
Random Forest (Baseline),0.43092319704556026,1.1426820252658234,0.3405129906385911,0.9406245203283875,0.8899224917860117,0.1753375662150637,,
Random Forest (Tuned),0.49852858969455044,0.5307729712243402,0.3934103970245278,0.41420385994377074,0.8511583226578258,0.8289781045707368,"{'bootstrap': True, 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",1.1383629489135885
XGBoost (Baseline),0.02722825928462216,1.320364910413884,0.01880887119899942,1.04733101730081,0.9995559987712214,-0.05833233611383393,,
Baseline Linear Regression,1.09870609774437,1.1273464065155225,0.8712787386091609,0.9153162987577669,0.28441387160242526,0.19732416339339132,,,,
Lasso Regression (No Hyper-Tuning),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,,,,
Ridge Regression (No Hyper-Tuning),1.105172013698702,1.1287210037548678,0.8764013971790702,0.9182454896839151,0.2759665997622034,0.19536553088200614,,,,
SVM Regression (No Hyper-Tuning),0.9403341546352755,1.1590599550492597,0.6683703884535895,0.9571297030607496,0.4758407370544806,0.1515285712480322,,,,
Ridge Regression (Tuned),1.112415719881247,1.1263960393598706,0.8809492333576184,0.9227818931528662,0.2664443300052479,0.1986769245444736,{'ridge__alpha': 100.0},,,
Lasso Regression (Tuned),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,{'lasso__alpha': 0.01},,,
SVM Regression (Tuned),1.11877879208799,1.1343943391162798,0.8731504189710183,0.9275283740848782,0.2580283803639576,0.18725646992788458,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}",,,
Random Forest (Baseline),0.43092319704556026,1.1426820252658234,0.3405129906385911,0.9406245203283875,0.8899224917860117,0.1753375662150637,,,,
Random Forest (Tuned),0.49852858969455044,0.5307729712243402,0.3934103970245278,0.41420385994377074,0.8511583226578258,0.8289781045707368,"{'bootstrap': True, 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",1.1383629489135885,,
XGBoost (Baseline),0.02722825928462216,1.320364910413884,0.01880887119899942,1.04733101730081,0.9995559987712214,-0.05833233611383393,,,,
XGBoost (Baseline),0.02722825928462216,1.320364910413884,0.01880887119899942,1.04733101730081,0.9995559987712214,-0.05833233611383393,,,,
XGBoost (Tuned),,1.2008295643410918,,0.9486975818842057,,0.12461951469364452,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'gamma': 0, 'reg_alpha': 0, 'reg_lambda': 10, 'min_child_weight': 1}",,1.1341661674122356,
XGBoost (Baseline),0.04565644944608489,1.201286618333616,0.03175986062608732,1.0058401960106296,0.9987643282636269,0.088579698026367,,,,
XGBoost (Baseline),0.04565644944608489,1.201286618333616,0.03175986062608732,1.0058401960106296,0.9987643282636269,0.088579698026367,,,,
XGBoost (Tuned CV),0.8617181666616208,1.1435692362572645,0.676672859353239,0.9315682959578806,0.5598209780155288,0.17405648609632163,"{'max_depth': 3, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'gamma': 0.1, 'reg_alpha': 0.3, 'reg_lambda': 5, 'min_child_weight': 3}",,1.138611180017019,
XGBoost (Baseline),0.04565644944608489,1.201286618333616,0.03175986062608732,1.0058401960106296,0.9987643282636269,0.088579698026367,,,,
XGBoost (Tuned CV),3.145470799217482,5.03422459658584,2.260487636139649,3.9394992893375793,0.7836100227518484,0.4802790730676989,"{'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'gamma': 0.1, 'reg_alpha': 1, 'reg_lambda': 1, 'min_child_weight': 2}",,5.684100435307429,
XGBoost (Tuned Single-Split),3.145470799217482,5.03422459658584,2.260487636139649,3.9394992893375793,0.7836100227518484,0.4802790730676989,"{'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'gamma': 0.1, 'reg_alpha': 1, 'reg_lambda': 1, 'min_child_weight': 2}",,,3.2939327186160714
Baseline Linear Regression,1.09870609774437,1.1273464065155225,0.8712787386091609,0.9153162987577669,0.28441387160242526,0.19732416339339132,,,,
