Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Best_Params
Baseline Linear Regression,1.09870609774437,1.1273464065155225,0.8712787386091609,0.9153162987577669,0.28441387160242526,0.19732416339339132,
Lasso Regression (No Hyper-Tuning),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,
Ridge Regression (No Hyper-Tuning),1.105172013698702,1.1287210037548678,0.8764013971790702,0.9182454896839151,0.2759665997622034,0.19536553088200614,
SVM Regression (No Hyper-Tuning),0.9403341546352755,1.1590599550492597,0.6683703884535895,0.9571297030607496,0.4758407370544806,0.1515285712480322,
Ridge Regression (Tuned),1.112415719881247,1.1263960393598706,0.8809492333576184,0.9227818931528662,0.2664443300052479,0.1986769245444736,{'ridge__alpha': 100.0}
Lasso Regression (Tuned),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635,{'lasso__alpha': 0.01}
SVM Regression (Tuned),1.11877879208799,1.1343943391162798,0.8731504189710183,0.9275283740848782,0.2580283803639576,0.18725646992788458,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
