Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
Baseline Linear Regression,1.09870609774437,1.1273464065155225,0.8712787386091609,0.9153162987577669,0.28441387160242526,0.19732416339339132
Lasso Regression (No Hyper-Tuning),1.114001512681297,1.1235770103974319,0.8802424148838066,0.9218667899619772,0.26435141380317995,0.2026828445597635
Ridge Regression (No Hyper-Tuning),1.105172013698702,1.1287210037548678,0.8764013971790702,0.9182454896839151,0.2759665997622034,0.19536553088200614
SVM Regression (No Hyper-Tuning),0.9403341546352755,1.1590599550492597,0.6683703884535895,0.9571297030607496,0.4758407370544806,0.1515285712480322
