Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
Random Forest (Baseline),0.4241220294577661,1.2224266654798652,0.3346613232197222,0.962844667667494,0.8922726247193693,0.09284865860221947
Random Forest (Tuned),0.9138164626362296,1.1955637727278337,0.7291162901266511,0.9424613430540962,0.4998936461331258,0.13227999303977644
Random Forest (Tuned),0.9405597053080936,1.1959759441670395,0.7529884049404646,0.9427729098282506,0.4701936550269137,0.1316815957611095
