Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
Random Forest (Baseline),0.4241220294577661,1.2224266654798652,0.3346613232197222,0.962844667667494,0.8922726247193693,0.09284865860221947
Random Forest (Tuned),0.9138164626362296,1.1955637727278337,0.7291162901266511,0.9424613430540962,0.4998936461331258,0.13227999303977644
Random Forest (Tuned),0.9405597053080936,1.1959759441670395,0.7529884049404646,0.9427729098282506,0.4701936550269137,0.1316815957611095
LightGBM (Baseline),0.24906581383103832,1.2524137196601413,0.19338806422940275,0.9877850695932905,0.9628488159545169,0.047796550649668035
LightGBM (Hypertuned),0.5726447896093217,1.222277765530384,0.4479330862072087,0.975852692429356,0.8036119563386642,0.0930696396495122
LightGBM (Hypertuned & Selected Features),0.5160234849782633,1.2268963390148437,0.40067636569001436,0.963485790937253,0.8405283999299333,0.0862027252407368
Neural Network,0.9872801831353862,1.2439565538725308,0.7766332429519907,0.9856892419214686,0.4221971451932497,0.022682118727177625
